depcom,ncc,nccenr,depcom_pole
49250,LA PREVIERE,La Prévière,49248
49251,PRUILLE,Pruillé,49200
49252,LE PUISET-DORE,Le Puiset-Doré,49218
49254,QUERRE,Querré,49065
49255,QUINCE,Quincé,49050
49256,RABLAY-SUR-LAYON,Rablay-sur-Layon,49345
49258,LA RENAUDIERE,La Renaudière,49301
49263,ROUSSAY,Roussay,49301
49264,SAINT-ANDRE-DE-LA-MARCHE,Saint-André-de-la-Marche,49301
49265,SAINT-AUBIN-DE-LUIGNE,Saint-Aubin-de-Luigné,49292
49268,SAINTE-CHRISTINE,Sainte-Christine,49092
49270,SAINT-CHRISTOPHE-LA-COUPERIE,Saint-Christophe-la-Couperie,49069
49273,SAINT-CRESPIN-SUR-MOINE,Saint-Crespin-sur-Moine,49301
49275,SAINT-ELLIER,Saint-Ellier,49050
49276,SAINT-FLORENT-LE-VIEIL,Saint-Florent-le-Vieil,49244
49277,SAINTE-GEMMES-D'ANDIGNE,Sainte-Gemmes-d'Andigné,49331
49279,SAINT-GEORGES-DES-SEPT-VOIES,Saint-Georges-des-Sept-Voies,49261
49280,SAINT-GEORGES-DU-BOIS,Saint-Georges-du-Bois,49138
49281,SAINT-GEORGES-DES-GARDES,Saint-Georges-des-Gardes,49092
49282,SAINT-GEORGES-SUR-LAYON,Saint-Georges-sur-Layon,49125
49285,SAINT-GERMAIN-SUR-MOINE,Saint-Germain-sur-Moine,49301
49286,SAINT-HILAIRE-DU-BOIS,Saint-Hilaire-du-Bois,49373
49287,SAINT-HILAIRE-SAINT-FLORENT,Saint-Hilaire-Saint-Florent,49328
49290,SAINT-JEAN-DES-MAUVRETS,Saint-Jean-des-Mauvrets,49167
49293,SAINT-LAMBERT-DES-LEVEES,Saint-Lambert-des-Levées,49328
49295,SAINT-LAURENT-DE-LA-PLAINE,Saint-Laurent-de-la-Plaine,49244
49296,SAINT-LAURENT-DES-AUTELS,Saint-Laurent-des-Autels,49069
49297,SAINT-LAURENT-DU-MOTTAY,Saint-Laurent-du-Mottay,49244
49300,SAINT-LEZIN,Saint-Lézin,49092
49303,SAINT-MARTIN-D'ARCE,Saint-Martin-d'Arcé,49018
49304,SAINT-MARTIN-DE-LA-PLACE,Saint-Martin-de-la-Place,49261
49305,SAINT-MARTIN-DU-BOIS,Saint-Martin-du-Bois,49331
49309,SAINT-MICHEL-ET-CHANVEAUX,Saint-Michel-et-Chanveaux,49248
49312,SAINT-PHILBERT-EN-MAUGES,Saint-Philbert-en-Mauges,49023
49313,SAINT-PIERRE-MONTLIMART,Saint-Pierre-Montlimart,49218
49314,SAINT-QUENTIN-EN-MAUGES,Saint-Quentin-en-Mauges,49218
49315,SAINT-QUENTIN-LES-BEAUREPAIRE,Saint-Quentin-lès-Beaurepaire,49018
49316,SAINT-REMY-EN-MAUGES,Saint-Rémy-en-Mauges,49218
49317,SAINT-REMY-LA-VARENNE,Saint-Rémy-la-Varenne,49050
49318,SAINT-SATURNIN-SUR-LOIRE,Saint-Saturnin-sur-Loire,49050
49319,SAINT-SAUVEUR-DE-FLEE,Saint-Sauveur-de-Flée,49331
49320,SAINT-SAUVEUR-DE-LANDEMONT,Saint-Sauveur-de-Landemont,49069
49322,SAINT-SULPICE,Saint-Sulpice,49029
49324,LA SALLE-ET-CHAPELLE-AUBRY,La Salle-et-Chapelle-Aubry,49218
49325,LA SALLE-DE-VIHIERS,La Salle-de-Vihiers,49092
49327,SAULGE-L'HOPITAL,Saulgé-l'Hôpital,49050
49335,SŒURDRES,Sœurdres,49065
49340,SOULANGER,Soulanger,49125
49342,TANCOIGNE,Tancoigné,49373
49346,LE THOUREIL,Le Thoureil,49261
49348,TIGNE,Tigné,49373
49349,TILLIERES,Tillières,49301
49350,TORFOU,Torfou,49301
49351,LA TOURLANDRY,La Tourlandry,49092
49354,LE TREMBLAY,Le Tremblay,49248
49356,TREMONT,Trémont,49373
49357,TREVES-CUNAULT,Trèves-Cunault,49261
49360,LA VARENNE,La Varenne,49069
49363,VAUCHRETIEN,Vauchrétien,49050
49365,LES VERCHERS-SUR-LAYON,Les Verchers-sur-Layon,49125
49366,VERGONNES,Vergonnes,49248
49372,LE VIEIL-BAUGE,Le Vieil-Baugé,49018
49375,VILLEDIEU-LA-BLOUERE,Villedieu-la-Blouère,49023
49376,VILLEMOISAN,Villemoisan,49183
49379,LE VOIDE,Le Voide,49373
49380,VAULANDRY,Vaulandry,49018
49382,LE FRESNE-SUR-LOIRE,Le Fresne-sur-Loire,49160
50001,ACQUEVILLE,Acqueville,50041
50005,AMFREVILLE,Amfreville,50400
50009,ANGEY,Angey,50565
50010,ANGOVILLE-AU-PLAIN,Angoville-au-Plain,50099
50011,ANGOVILLE-EN-SAIRE,Angoville-en-Saire,50142
50012,ANGOVILLE-SUR-AY,Angoville-sur-Ay,50267
50017,ARDEVON,Ardevon,50410
50018,ARGOUGES,Argouges,50487
50020,AUDERVILLE,Auderville,50041
50035,BAUDREVILLE,Baudreville,50236
50037,LA BAZOGE,La Bazoge,50260
50043,BELLEFONTAINE,Bellefontaine,50260
50047,LA BESLIERE,La Beslière,50188
50051,BEUZEVILLE-AU-PLAIN,Beuzeville-au-Plain,50523
50053,LES BIARDS,Les Biards,50256
50056,BION,Bion,50359
50057,BIVILLE,Biville,50041
50061,BOISROGER,Boisroger,50215
50063,BOLLEVILLE,Bolleville,50236
50065,BOUCEY,Boucey,50410
50067,LA BOULOUZE,La Boulouze,50531
50068,BOUREY,Bourey,50109
50071,BRAFFAIS,Braffais,50535
50073,BRANVILLE-HAGUE,Branville-Hague,50041
50075,BRECTOUVILLE,Brectouville,50601
50080,BREVANDS,Brévands,50099
50091,LE BUAT,Le Buat,50256
50100,CARNET,Carnet,50487
50104,CARTERET,Carteret,50031
50113,CHALANDREY,Chalandrey,50256
50114,LES CHAMBRES,Les Chambres,50115
