depcom,cp,ncc,nccenr,longitude,latitude
28235,28410,MARCHEZAIS,Marchezais,1.507267461802029,48.77136611515039
28236,28400,MARGON,Margon,0.832607702467825,48.3353778585493
28237,28400,MAROLLES-LES-BUIS,Marolles-les-Buis,0.927460654185988,48.36047633380264
28239,28500,MARVILLE-MOUTIERS-BRULE,Marville-Moutiers-Brûlé,1.3877781807655296,48.674453883295705
28240,28240,MEAUCE,Meaucé,1.0010558661755997,48.48503189875364
28242,28120,MEREGLISE,Méréglise,1.185125245635728,48.29000817515417
28243,28310,MEROUVILLE,Mérouville,1.8956381024499094,48.296073807837544
28245,28120,MESLAY-LE-GRENET,Meslay-le-Grenet,1.382356649147709,48.366660915040235
28246,28360,MESLAY-LE-VIDAME,Meslay-le-Vidame,1.4591848928822182,48.27949630841317
28247,28260,LE MESNIL-SIMON,Le Mesnil-Simon,1.5364375616319486,48.895857214737525
28248,28250,LE MESNIL-THOMAS,Le Mesnil-Thomas,1.0957345049914193,48.59906561969055
28249,28130,MEVOISINS,Mévoisins,1.590810257329889,48.55017571026715
28251,28500,MEZIERES-EN-DROUAIS,Mézières-en-Drouais,1.4243351038994092,48.723522370742685
28252,28480,MIERMAIGNE,Miermaigne,0.9926193962896042,48.24549630326481
28253,28630,MIGNIERES,Mignières,1.4284959194889488,48.359183059728835
28254,28190,MITTAINVILLIERS-VERIGNY,Mittainvilliers-Vérigny,1.3092631529952803,48.49791769819463
28255,28700,MOINVILLE-LA-JEULIN,Moinville-la-Jeulin,1.6993872197794688,48.37956283244451
28256,28200,MOLEANS,Moléans,1.3886383804370794,48.11745989707058
28257,28700,MONDONVILLE-SAINT-JEAN,Mondonville-Saint-Jean,1.8240038034632295,48.363768970687445
28259,28800,MONTBOISSIER,Montboissier,1.3922370822417496,48.22010870439995
28260,28800,MONTHARVILLE,Montharville,1.3301073396042395,48.183247192873
28261,28120,MONTIGNY-LE-CHARTIF,Montigny-le-Chartif,1.1542820221544994,48.28503106947266
